sample,genus,species,taxon,population,pool,WGA,WGA_input_ng,samplename_ipyrad,reads_raw,reads_passed_filter,clusters_total,clusters_hidepth,hetero_est,error_est,assembled,excluded_dueto_less_than_100_loci,excluded_dueto_few_shared_loci,N_loci_s7,N_nucleotides_s7,N_nucleotides_heteroz,N_nucleotides_ambiguous,GC_content
BdM1266,Andranthobius,bondari,Andranthobius,P8,12,False,,BdM1266pool12,139572,139510,21109,2783,0.02675671,0.011512,True,False,False,1433.0,129401.0,451.0,255.0,0.322509322766
BdM1266,Andranthobius,bondari,Andranthobius,P8,29,True,132.5044839,BdM1266pool29,350952,350912,39889,4904,0.02012025,0.00516,True,False,False,2066.0,186320.0,441.0,332.0,0.329821341825
BdM1267,Andranthobius,bondari,Andranthobius,P8,12,False,,BdM1267pool12,227048,226952,27887,5440,0.02112974,0.009794,True,False,False,3331.0,300550.0,1028.0,568.0,0.324902990796
BdM1274,Andranthobius,bondari,Andranthobius,P8,12,True,85.38823135,BdM1274pool12,429159,429032,6257,365,0.04286157,0.008209,True,True,,61.0,5605.0,7.0,12.0,0.350566313482
BdM1275,Andranthobius,bondari,Andranthobius,P8,12,False,,BdM1275pool12,1462561,1461949,53973,25210,0.0144977,0.004381,True,False,False,16549.0,1491225.0,6378.0,896.0,0.32022880618
BdM1158,Celetes,impar,Celetes_impar,P2,8,False,,BdM1158pool08,186876,186743,36315,5263,0.027459,0.012234,True,False,True,2739.0,247816.0,1174.0,595.0,0.342116533763
BdM1158,Celetes,impar,Celetes_impar,P2,28,True,306.2918191,BdM1158pool28,700304,700214,73481,13877,0.011875,0.003469,True,False,True,118.0,10704.0,42.0,33.0,0.380866597137
BdM1159,Celetes,impar,Celetes_impar,P2,8,False,,BdM1159pool08,422922,422605,50330,14577,0.020518,0.008346,True,False,False,9140.0,826503.0,4630.0,1556.0,0.340184278588
BdM1160,Celetes,impar,Celetes_impar,P2,8,False,,BdM1160pool08,666089,665625,59222,22361,0.018659,0.006868,True,False,False,14123.0,1276911.0,8092.0,1984.0,0.339736988913
BdM1161,Celetes,impar,Celetes_impar,P2,8,False,,BdM1161pool08,640022,639539,59702,21279,0.019067,0.006864,True,False,False,13452.0,1216288.0,7141.0,1810.0,0.340031473538
BdM1162,Celetes,impar,Celetes_impar,P2,8,False,,BdM1162pool08,16462,16452,6735,217,0.041157,0.017157,True,True,,24.0,2178.0,6.0,6.0,0.36221391873
BdM1162,Celetes,impar,Celetes_impar,P2,28,True,278.4193205,BdM1162pool28,917772,917545,108108,21495,0.019296,0.005416,True,False,False,13597.0,1230083.0,7367.0,1762.0,0.336000861735
BdM1163,Celetes,impar,Celetes_impar,P2,8,False,,BdM1163pool08,613928,613425,55300,20578,0.019262,0.006726,True,False,False,13119.0,1186245.0,7081.0,1807.0,0.338907859109
BdM1152,Celetes,impar,Celetes_impar,P4,8,True,21.92490444,BdM1152pool08,448402,448139,67318,12223,0.025435,0.00858,True,False,False,6619.0,598695.0,3452.0,1330.0,0.346425807626
BdM1153,Celetes,impar,Celetes_impar,P4,8,False,,BdM1153pool08,231059,230904,39498,7496,0.024754,0.010822,True,False,False,4297.0,388730.0,2071.0,1102.0,0.338522963953
BdM1154,Celetes,impar,Celetes_impar,P4,8,False,,BdM1154pool08,67177,67116,19219,1221,0.03791,0.015332,True,False,False,380.0,34372.0,131.0,59.0,0.353623401441
BdM1154,Celetes,impar,Celetes_impar,P4,28,True,250.8244854,BdM1154pool28,548797,548647,75407,12852,0.019064,0.00581,True,False,False,7424.0,671957.0,2476.0,1249.0,0.336696411682
BdM1155,Celetes,impar,Celetes_impar,P4,8,False,,BdM1155pool08,449821,449390,57354,15073,0.021691,0.008598,True,False,False,9130.0,825642.0,4980.0,1617.0,0.339769900953
BdM1156,Celetes,impar,Celetes_impar,P4,8,False,,BdM1156pool08,208299,207742,38984,6250,0.026364,0.011729,True,False,False,3390.0,306722.0,1703.0,845.0,0.337101337576
BdM1146,Celetes,impar,Celetes_impar,P5,8,False,,BdM1146pool08,108720,108647,26138,2443,0.032797,0.014305,True,False,False,1066.0,96561.0,448.0,279.0,0.341963266033
BdM1146,Celetes,impar,Celetes_impar,P5,28,True,127.7523543,BdM1146pool28,1032724,1032390,102327,24760,0.018215,0.005012,True,False,False,16599.0,1501173.0,10659.0,1442.0,0.335593762382
BdM1147,Celetes,impar,Celetes_impar,P5,8,False,,BdM1147pool08,50993,50947,16075,813,0.037935,0.016926,True,False,True,197.0,17876.0,92.0,73.0,0.346581245039
BdM1147,Celetes,impar,Celetes_impar,P5,28,True,234.0037266,BdM1147pool28,88402,88377,31626,1052,0.035123,0.016175,True,False,True,224.0,20319.0,63.0,54.0,0.327500373376
BdM1148,Celetes,impar,Celetes_impar,P5,8,False,,BdM1148pool08,37276,37247,12132,540,0.039042,0.017056,True,False,False,114.0,10342.0,51.0,37.0,0.343989017454
BdM1148,Celetes,impar,Celetes_impar,P5,28,True,73.45367174,BdM1148pool28,306549,306484,46792,6948,0.020394,0.006385,True,False,False,3984.0,360828.0,1198.0,748.0,0.334456586207
BdM1149,Celetes,impar,Celetes_impar,P5,8,False,,BdM1149pool08,146970,146883,31685,3830,0.029092,0.013349,True,False,False,1876.0,169751.0,777.0,431.0,0.339830281376
BdM1149,Celetes,impar,Celetes_impar,P5,28,True,172.9308338,BdM1149pool28,898235,897991,99759,19999,0.018809,0.004969,True,False,False,12308.0,1113401.0,5734.0,1831.0,0.336686717268
BdM1150,Celetes,impar,Celetes_impar,P5,8,False,,BdM1150pool08,144981,144876,34020,3519,0.03128,0.01383,True,False,False,1613.0,145987.0,678.0,377.0,0.34095409541
BdM1150,Celetes,impar,Celetes_impar,P5,28,True,162.4726097,BdM1150pool28,564273,564120,65029,10513,0.018678,0.004391,True,False,False,5307.0,480473.0,1247.0,726.0,0.335613145154
BdM1151,Celetes,impar,Celetes_impar,P5,8,False,,BdM1151pool08,120370,120287,28419,2764,0.033879,0.013723,True,False,False,1175.0,106364.0,539.0,286.0,0.341952956183
BdM1151,Celetes,impar,Celetes_impar,P5,28,True,175.2401024,BdM1151pool28,893921,893631,104974,21873,0.019676,0.005643,True,False,False,14526.0,1313927.0,9063.0,1669.0,0.336371363772
BdM1140,Celetes,impar,Celetes_impar,P6,8,False,,BdM1140pool08,2085,2083,1006,19,0.031778,0.01889,True,True,,,,,,
BdM1140,Celetes,impar,Celetes_impar,P6,28,True,206.7532319,BdM1140pool28,811576,811375,95712,19836,0.019112,0.005427,True,False,False,12853.0,1163074.0,6792.0,2009.0,0.335263965775
BdM1141,Celetes,impar,Celetes_impar,P6,8,False,,BdM1141pool08,2659,2654,1218,34,0.035246,0.012816,True,True,,,,,,
BdM1141,Celetes,impar,Celetes_impar,P6,28,True,157.5865716,BdM1141pool28,921255,921172,97039,20477,0.01753,0.005938,True,False,False,526.0,47619.0,265.0,91.0,0.365295783043
BdM1142,Celetes,impar,Celetes_impar,P6,8,False,,BdM1142pool08,82530,82453,20822,1749,0.032274,0.01467,True,False,False,689.0,62320.0,245.0,171.0,0.345658304162
BdM1142,Celetes,impar,Celetes_impar,P6,28,True,127.3149529,BdM1142pool28,1183736,1183407,113417,24708,0.019226,0.004441,True,False,False,15781.0,1427415.0,8919.0,2098.0,0.33575817409
BdM1143,Celetes,impar,Celetes_impar,P6,8,False,,BdM1143pool08,42444,42417,13571,670,0.037137,0.016597,True,False,False,151.0,13639.0,52.0,37.0,0.351604773553
BdM1143,Celetes,impar,Celetes_impar,P6,28,True,215.2383355,BdM1143pool28,838779,838533,85729,17198,0.018236,0.00476,True,False,False,10643.0,962891.0,4308.0,1598.0,0.337661447106
BdM1144,Celetes,impar,Celetes_impar,P6,8,False,,BdM1144pool08,4777,4775,2234,51,0.032392,0.017976,True,True,,3.0,274.0,1.0,1.0,0.377819548872
BdM1144,Celetes,impar,Celetes_impar,P6,28,True,262.798409,BdM1144pool28,883574,883355,90521,19620,0.018204,0.004899,True,False,False,12596.0,1139683.0,5926.0,1778.0,0.336095910036
BdM1135,Celetes,impar,Celetes_impar,P7,8,False,,BdM1135pool08,69768,69603,19812,1217,0.037493,0.015999,True,False,False,364.0,32978.0,156.0,103.0,0.348462011689
BdM1135,Celetes,impar,Celetes_impar,P7,28,True,151.7148605,BdM1135pool28,776335,776128,94464,19426,0.019405,0.005708,True,False,False,12471.0,1128507.0,7431.0,1908.0,0.336446673938
BdM1136,Celetes,impar,Celetes_impar,P7,8,False,,BdM1136pool08,431,431,254,1,0.008633,0.023985,True,True,,,,,,
BdM1136,Celetes,impar,Celetes_impar,P7,28,True,105.8390762,BdM1136pool28,481448,481319,72430,13279,0.020461,0.007241,True,False,False,8217.0,743686.0,4322.0,1886.0,0.33665963678
BdM1138,Celetes,impar,Celetes_impar,P7,8,False,,BdM1138pool08,2018,2011,1034,19,0.019089,0.018617,True,True,,,,,,
BdM1138,Celetes,impar,Celetes_impar,P7,28,True,142.0801506,BdM1138pool28,1107779,1106307,114566,21275,0.019418,0.004492,True,False,False,12033.0,1088647.0,5280.0,1847.0,0.336024744063
BdM1139,Celetes,impar,Celetes_impar,P7,8,False,,BdM1139pool08,529,528,271,3,0.009003,0.031816,True,True,,1.0,98.0,0.0,5.0,0.309523809524
BdM1139,Celetes,impar,Celetes_impar,P7,28,True,92.17098947,BdM1139pool28,830344,830149,93250,18610,0.019047,0.005102,True,False,False,11186.0,1011945.0,5274.0,1627.0,0.335241498408
BdM1128,Celetes,impar,Celetes_impar,P9,8,False,,BdM1128pool08,623074,622708,55877,19817,0.018936,0.006665,True,False,False,12126.0,1096332.0,6719.0,1952.0,0.338668071852
BdM1129,Celetes,impar,Celetes_impar,P9,8,False,,BdM1129pool08,677328,676871,60754,21692,0.019282,0.006599,True,False,False,12956.0,1171483.0,7505.0,1740.0,0.339125253299
BdM1130,Celetes,impar,Celetes_impar,P9,8,False,,BdM1130pool08,926800,926216,67063,27216,0.018717,0.005694,True,False,False,15666.0,1416140.0,9614.0,1750.0,0.338211361874
BdM1131,Celetes,impar,Celetes_impar,P9,8,False,,BdM1131pool08,178084,177963,34012,4925,0.028063,0.011603,True,False,False,2569.0,232276.0,1105.0,550.0,0.340519228595
BdM1131,Celetes,impar,Celetes_impar,P9,28,True,200.7293115,BdM1131pool28,786867,786675,90320,16906,0.018439,0.005041,True,False,False,9675.0,875503.0,4110.0,1395.0,0.336884501053
BdM1133,Celetes,impar,Celetes_impar,P9,8,False,,BdM1133pool08,8924,8922,3715,109,0.03628,0.01827,True,True,,10.0,917.0,5.0,4.0,0.339106145251
BdM1133,Celetes,impar,Celetes_impar,P9,28,True,153.07318,BdM1133pool28,866782,866575,99260,20002,0.019317,0.005187,True,False,False,11906.0,1077248.0,6436.0,1832.0,0.335915427714
BdM1211,Microstrates,bondari,Microstrates_bondari,P1,11,False,,BdM1211pool11,229551,229453,33534,8712,0.020057,0.007978,True,False,False,4559.0,412539.0,2321.0,964.0,0.318839515241
BdM1212,Microstrates,bondari,Microstrates_bondari,P1,11,False,,BdM1212pool11,274043,273930,41869,9975,0.01958,0.00743,True,False,False,5244.0,474446.0,2779.0,995.0,0.316677839138
BdM1213,Microstrates,bondari,Microstrates_bondari,P1,11,False,,BdM1213pool11,119587,119541,24864,3809,0.023807,0.009466,True,False,False,1774.0,160525.0,731.0,357.0,0.318704606194
BdM1213,Microstrates,bondari,Microstrates_bondari,P1,24,True,242.3711956,BdM1213pool24,832343,832274,104689,18379,0.016965,0.004001,True,False,False,10008.0,905055.0,5717.0,1132.0,0.315891843881
BdM1214,Microstrates,bondari,Microstrates_bondari,P1,11,False,,BdM1214pool11,464896,464722,71380,16453,0.020821,0.007126,True,False,False,6772.0,612642.0,3771.0,1156.0,0.315101280643
BdM1215,Microstrates,bondari,Microstrates_bondari,P1,11,False,,BdM1215pool11,381873,381721,56024,13666,0.019792,0.007136,True,False,False,6862.0,620454.0,3732.0,1230.0,0.315579420352
BdM1216,Microstrates,bondari,Microstrates_bondari,P1,11,False,,BdM1216pool11,119187,119134,27494,3455,0.02451,0.010404,True,False,False,1488.0,134505.0,671.0,309.0,0.319133674335
BdM1216,Microstrates,bondari,Microstrates_bondari,P1,24,True,98.34966311,BdM1216pool24,560746,560702,87587,14550,0.017856,0.004962,True,False,False,8224.0,743906.0,4816.0,1187.0,0.317661686486
BdM1217,Microstrates,bondari,Microstrates_bondari,P1,11,False,,BdM1217pool11,1473752,1473062,113936,39487,0.018399,0.004126,True,False,False,12798.0,1156563.0,8349.0,773.0,0.316507100436
BdM1218,Microstrates,bondari,Microstrates_bondari,P1,11,False,,BdM1218pool11,535183,534868,82637,19421,0.019739,0.007344,True,False,False,7416.0,670691.0,4236.0,1370.0,0.315490532268
BdM1219,Microstrates,bondari,Microstrates_bondari,P3,11,False,,BdM1219pool11,95964,95919,20791,2942,0.02475,0.010322,True,False,False,1231.0,111437.0,493.0,326.0,0.315815506929
BdM1219,Microstrates,bondari,Microstrates_bondari,P3,24,True,46.22376359,BdM1219pool24,482374,482339,73415,12375,0.018887,0.005464,True,False,False,6835.0,618324.0,4174.0,1913.0,0.315968384222
BdM1220,Microstrates,bondari,Microstrates_bondari,P3,11,True,17.85430665,BdM1220pool11,55918,55895,2317,154,0.035827,0.001327,True,False,False,11.0,1012.0,0.0,0.0,0.31269035533
BdM1220,Microstrates,bondari,Microstrates_bondari,P3,21,True,17.85430665,BdM1220pool21,1343744,1343635,37884,3817,0.029581,0.006523,True,True,,142.0,12883.0,73.0,40.0,0.340846510896
BdM1221,Microstrates,bondari,Microstrates_bondari,P3,11,True,31.66179579,BdM1221pool11,102039,102001,21868,3067,0.02425,0.00974,True,False,False,1351.0,122341.0,639.0,291.0,0.319174897834
BdM1221,Microstrates,bondari,Microstrates_bondari,P3,21,True,31.66179579,BdM1221pool21,793752,793604,118687,19460,0.018841,0.005373,True,False,False,9897.0,894740.0,6678.0,1284.0,0.31865926996
BdM1222,Microstrates,bondari,Microstrates_bondari,P3,11,False,,BdM1222pool11,38587,38572,10564,895,0.030028,0.01199,True,False,False,233.0,21087.0,64.0,34.0,0.317031595121
BdM1222,Microstrates,bondari,Microstrates_bondari,P3,24,True,124.9997126,BdM1222pool24,848905,848684,104302,18537,0.018126,0.004368,True,False,False,9670.0,874524.0,6052.0,1212.0,0.316841654069
BdM1223,Microstrates,bondari,Microstrates_bondari,P3,11,False,,BdM1223pool11,180994,180918,30855,6536,0.021367,0.008299,True,False,False,3383.0,306038.0,1669.0,731.0,0.316980727345
BdM1223,Microstrates,bondari,Microstrates_bondari,P3,24,True,54.08512409,BdM1223pool24,1106545,1100154,120404,22452,0.017384,0.003946,True,False,False,11885.0,1074195.0,7865.0,1046.0,0.315828606821
BdM1224,Microstrates,bondari,Microstrates_bondari,P3,11,False,,BdM1224pool11,324857,324707,49252,11706,0.021389,0.008151,True,False,False,5324.0,481528.0,3173.0,1235.0,0.31700235302
BdM1268,Microstrates,bondari,Microstrates_bondari,P3,11,False,,BdM1268pool11,549,548,234,3,0.054178,0.001052,True,True,,1.0,90.0,0.0,0.0,0.211111111111
BdM1269,Microstrates,bondari,Microstrates_bondari,P3,11,False,,BdM1269pool11,55745,55725,13338,1501,0.025876,0.011909,True,False,False,570.0,51642.0,226.0,123.0,0.324519372386
BdM1269,Microstrates,bondari,Microstrates_bondari,P3,24,True,197.0783544,BdM1269pool24,482867,482836,72380,12582,0.017238,0.005193,True,False,False,6850.0,619802.0,4126.0,1302.0,0.315298817233
BdM1225,Microstrates,bondari,Microstrates_bondari,P8,11,False,,BdM1225pool11,373238,373041,44304,14021,0.017337,0.006246,True,False,False,7536.0,681280.0,3347.0,1077.0,0.316924747665
BdM1226,Microstrates,bondari,Microstrates_bondari,P8,11,True,39.39083148,BdM1226pool11,87628,87596,6096,504,0.030218,0.004717,True,False,False,108.0,9796.0,14.0,25.0,0.33421161397
BdM1226,Microstrates,bondari,Microstrates_bondari,P8,21,True,39.39083148,BdM1226pool21,674321,674259,46179,4827,0.021287,0.007903,True,False,False,2342.0,212018.0,1050.0,482.0,0.32539108074
BdM1227,Microstrates,bondari,Microstrates_bondari,P8,11,False,,BdM1227pool11,97144,97111,19930,3208,0.022835,0.009223,True,False,False,1570.0,142097.0,429.0,276.0,0.310935722412
BdM1227,Microstrates,bondari,Microstrates_bondari,P8,24,True,86.65031343,BdM1227pool24,550202,550136,68344,12550,0.015712,0.004158,True,False,False,7202.0,651509.0,2652.0,993.0,0.315919273836
BdM1228,Microstrates,bondari,Microstrates_bondari,P8,11,False,,BdM1228pool11,168660,168587,28214,6022,0.019237,0.008576,True,False,False,3149.0,284809.0,1235.0,509.0,0.316437623334
BdM1229,Microstrates,bondari,Microstrates_bondari,P8,11,False,,BdM1229pool11,93897,93850,20377,2894,0.024233,0.009971,True,False,False,1260.0,114043.0,411.0,233.0,0.320366741446
BdM1229,Microstrates,bondari,Microstrates_bondari,P8,24,True,240.7985524,BdM1229pool24,340854,340830,42461,6145,0.015336,0.003833,True,False,False,2806.0,253928.0,513.0,323.0,0.320334189925
BdM1230,Microstrates,bondari,Microstrates_bondari,P8,11,False,,BdM1230pool11,102850,102795,21288,3334,0.021361,0.009629,True,False,False,1614.0,145962.0,481.0,268.0,0.310745756616
BdM1230,Microstrates,bondari,Microstrates_bondari,P8,24,True,142.8825227,BdM1230pool24,616060,615986,87991,14507,0.017142,0.004479,True,False,False,7827.0,707995.0,3362.0,1046.0,0.317019943912
BdM1270,Microstrates,bondari,Microstrates_bondari,P8,11,False,,BdM1270pool11,262902,262772,37011,9971,0.018333,0.007199,True,False,False,5417.0,490137.0,2299.0,829.0,0.314949895177
BdM1050,Microstrates,ypsilon,Microstrates_ypsilon,P4,14,False,,BdM1050pool14,339623,339469,39410,13704,0.017303,0.004947,True,False,False,6904.0,623994.0,4004.0,1239.0,0.311950293608
BdM1050,Microstrates,ypsilon,Microstrates_ypsilon,P4,24,True,252.54971,BdM1050pool24,50537,50531,7724,140,0.042353,0.004818,True,True,,6.0,545.0,0.0,0.0,0.362799263352
BdM1051,Microstrates,ypsilon,Microstrates_ypsilon,P4,14,True,8.722676335,BdM1051pool14,1272785,1272167,51343,12694,0.023358,0.004371,True,False,False,2714.0,245405.0,1202.0,657.0,0.315006010308
BdM1051,Microstrates,ypsilon,Microstrates_ypsilon,P4,21,True,8.722676335,BdM1051pool21,811316,811195,68478,7771,0.026312,0.005403,True,False,False,1389.0,125596.0,556.0,392.0,0.319962679064
BdM1052,Microstrates,ypsilon,Microstrates_ypsilon,P5,14,False,,BdM1052pool14,698491,698151,54740,22776,0.016239,0.003574,True,False,False,10322.0,932746.0,6390.0,1110.0,0.31214654032
BdM1053,Microstrates,ypsilon,Microstrates_ypsilon,P5,14,False,,BdM1053pool14,184279,184163,31605,7018,0.02079,0.006736,True,False,False,3353.0,303166.0,1635.0,773.0,0.310267463049
BdM1053,Microstrates,ypsilon,Microstrates_ypsilon,P5,24,True,124.5240568,BdM1053pool24,608464,608416,54333,7854,0.017477,0.003024,True,False,False,2548.0,230368.0,685.0,322.0,0.312142600685
BdM1054,Microstrates,ypsilon,Microstrates_ypsilon,P5,14,False,,BdM1054pool14,175618,175541,27451,7299,0.019284,0.00662,True,False,False,3833.0,346515.0,2020.0,717.0,0.311861745056
BdM1054,Microstrates,ypsilon,Microstrates_ypsilon,P5,24,True,241.30093,BdM1054pool24,652206,652136,80652,13363,0.018166,0.003424,True,False,False,5048.0,456424.0,2323.0,791.0,0.312454982125
BdM1055,Microstrates,ypsilon,Microstrates_ypsilon,P5,14,False,,BdM1055pool14,491838,491633,44589,18342,0.016823,0.004157,True,False,False,8872.0,801686.0,5095.0,1275.0,0.311529211501
BdM1056,Microstrates,ypsilon,Microstrates_ypsilon,P5,14,False,,BdM1056pool14,366663,366406,41007,14493,0.017374,0.004786,True,False,False,7110.0,642652.0,3920.0,1104.0,0.311427132477
BdM1057,Microstrates,ypsilon,Microstrates_ypsilon,P5,14,True,21.5959129,BdM1057pool14,11214,11213,854,46,0.023655,0.000323,True,True,,12.0,1088.0,5.0,0.0,0.338724584104
BdM1057,Microstrates,ypsilon,Microstrates_ypsilon,P5,21,True,21.5959129,BdM1057pool21,999562,999532,22136,843,0.037369,0.008229,True,True,,201.0,18224.0,146.0,71.0,0.327008556506
BdM1064,Microstrates,ypsilon,Microstrates_ypsilon,P7,14,False,,BdM1064pool14,91748,91656,19823,3078,0.02319,0.008661,True,False,True,1363.0,123311.0,639.0,352.0,0.311760027549
BdM1064,Microstrates,ypsilon,Microstrates_ypsilon,P7,24,True,140.8316358,BdM1064pool24,305554,305487,25583,3693,0.014216,0.002195,True,False,True,1155.0,104504.0,161.0,75.0,0.312761768736
BdM1065,Microstrates,ypsilon,Microstrates_ypsilon,P7,14,False,,BdM1065pool14,65019,64994,14364,2125,0.022354,0.009018,True,False,False,1005.0,90898.0,363.0,202.0,0.314498732376
BdM1065,Microstrates,ypsilon,Microstrates_ypsilon,P7,24,True,250.4064964,BdM1065pool24,466710,466676,66928,11383,0.017633,0.003931,True,False,False,4966.0,448998.0,2159.0,751.0,0.312259439407
BdM1066,Microstrates,ypsilon,Microstrates_ypsilon,P7,14,False,,BdM1066pool14,95847,95772,20222,3324,0.022029,0.00811,True,False,False,1503.0,135930.0,538.0,318.0,0.315076184031
BdM1066,Microstrates,ypsilon,Microstrates_ypsilon,P7,24,True,253.5765273,BdM1066pool24,488268,488239,54387,7113,0.023431,0.004995,True,False,False,2392.0,216495.0,785.0,454.0,0.310771483737
BdM1067,Microstrates,ypsilon,Microstrates_ypsilon,P7,14,False,,BdM1067pool14,41690,41641,11230,1072,0.024446,0.010051,True,False,True,399.0,36065.0,138.0,96.0,0.313391630931
BdM1067,Microstrates,ypsilon,Microstrates_ypsilon,P7,24,True,246.4163274,BdM1067pool24,264107,264075,27119,2787,0.015688,0.003098,True,False,True,946.0,85484.0,147.0,103.0,0.315431807456
BdM1068,Microstrates,ypsilon,Microstrates_ypsilon,P7,14,False,,BdM1068pool14,44662,44639,11902,1161,0.027348,0.009626,True,False,True,416.0,37691.0,131.0,92.0,0.31920387305
BdM1068,Microstrates,ypsilon,Microstrates_ypsilon,P7,24,True,69.20485022,BdM1068pool24,187719,187709,19527,1732,0.015772,0.003083,True,False,True,694.0,62783.0,83.0,53.0,0.315773422577
BdM1069,Microstrates,ypsilon,Microstrates_ypsilon,P7,14,False,,BdM1069pool14,28430,28414,8367,612,0.027963,0.009883,True,False,False,179.0,16242.0,42.0,47.0,0.307207094679
BdM1069,Microstrates,ypsilon,Microstrates_ypsilon,P7,24,True,197.6167312,BdM1069pool24,462245,462214,36339,5294,0.015691,0.002424,True,False,False,1683.0,152198.0,287.0,152.0,0.313275397262
BdM1070,Microstrates,ypsilon,Microstrates_ypsilon,P9,14,False,,BdM1070pool14,253575,253461,34507,10412,0.017433,0.00559,True,False,False,5392.0,487303.0,2619.0,964.0,0.312695238509
BdM1071,Microstrates,ypsilon,Microstrates_ypsilon,P9,14,False,,BdM1071pool14,90856,90831,18995,3152,0.022234,0.008225,True,False,False,1492.0,134887.0,620.0,301.0,0.316017121648
BdM1071,Microstrates,ypsilon,Microstrates_ypsilon,P9,24,True,234.2922502,BdM1071pool24,367063,367034,40784,5929,0.01791,0.00264,True,False,False,2154.0,194745.0,468.0,276.0,0.313688783938
BdM1072,Microstrates,ypsilon,Microstrates_ypsilon,P9,14,False,,BdM1072pool14,253194,253089,32013,10609,0.017402,0.005199,True,False,False,5662.0,511801.0,2822.0,947.0,0.31255765819
BdM1073,Microstrates,ypsilon,Microstrates_ypsilon,P9,14,False,,BdM1073pool14,801441,801106,53289,25057,0.016041,0.003273,True,False,False,10908.0,985454.0,6538.0,1092.0,0.311876831945
BdM1074,Microstrates,ypsilon,Microstrates_ypsilon,P9,14,False,,BdM1074pool14,1130936,1130468,61512,28755,0.01557,0.00273,True,False,False,11723.0,1058881.0,7262.0,808.0,0.312316120379
BdM1075,Microstrates,ypsilon,Microstrates_ypsilon,P9,14,False,,BdM1075pool14,192617,192515,28780,8179,0.018076,0.00589,True,False,False,4330.0,391525.0,1968.0,849.0,0.313126911354
BdM1075,Microstrates,ypsilon,Microstrates_ypsilon,P9,24,True,247.1765597,BdM1075pool24,396314,396298,58077,8314,0.020518,0.005077,True,False,False,3472.0,314185.0,1431.0,684.0,0.310012981338
